area_fips,own_code,industry_code,year,qtr,qtrly_estabs_count,month1_emplvl,month2_emplvl,month3_emplvl,,total_qtrly_wages,taxable_qtrly_wages,qtrly_contributions,avg_wkly_wage
36009,5,72,1990,2,199,2101,2062,2070,,3252634,0,0,120
36009,5,72,1990,3,197,2038,2083,2062,,3484102,0,0,130
36009,5,72,1990,4,195,2130,2095,2214,,3668223,0,0,131
36011,5,72,1990,1,151,1683,1718,1739,,2965704,0,0,133
36011,5,72,1990,2,154,1860,1957,2038,,3510882,0,0,138
36011,5,72,1990,3,153,2028,2036,1944,,3710144,0,0,143
36011,5,72,1990,4,153,1808,1759,1778,,3400937,0,0,147
36013,5,72,1990,1,346,4458,4602,4200,,6925529,0,0,121
36013,5,72,1990,2,350,4191,4534,4412,,7086457,0,0,124
36013,5,72,1990,3,342,4696,4720,4633,,8495095,0,0,140
36013,5,72,1990,4,340,4416,4124,4277,,7161866,0,0,129
36015,5,72,1990,1,182,2357,2357,2396,,4187180,0,0,136
36015,5,72,1990,2,182,2364,2448,2506,,4423502,0,0,139
36015,5,72,1990,3,188,2593,2572,2480,,4828897,0,0,146
36015,5,72,1990,4,189,2382,2375,2364,,4419468,0,0,143
36017,5,72,1990,1,96,706,686,720,,1191215,0,0,130
36017,5,72,1990,2,98,814,835,839,,1415050,0,0,131
36017,5,72,1990,3,97,930,958,779,,1547410,0,0,134
36017,5,72,1990,4,98,778,764,722,,1357252,0,0,138
36019,5,72,1990,1,176,2639,2650,2702,,4859688,0,0,140
36019,5,72,1990,2,185,2846,2973,3083,,5186625,0,0,134
36019,5,72,1990,3,189,3221,3181,3155,,5998139,0,0,145
36019,5,72,1990,4,187,3060,2918,2861,,5378676,0,0,140
36021,5,72,1990,1,126,945,968,964,,1705811,0,0,137
36021,5,72,1990,2,127,1008,1045,1109,,1915167,0,0,140
36021,5,72,1990,3,133,1362,1445,1158,,2612982,0,0,152
36021,5,72,1990,4,132,998,953,928,,1816838,0,0,146
36023,5,72,1990,1,113,1724,2028,1885,,2670393,0,0,109
36023,5,72,1990,2,114,1614,1653,1534,,2549322,0,0,123
36023,5,72,1990,3,114,1467,1409,1664,,2634980,0,0,134
36023,5,72,1990,4,113,1594,1620,1731,,2590561,0,0,121
36025,5,72,1990,1,140,1226,1326,1181,,2591736,0,0,160
36025,5,72,1990,2,142,1159,1222,1238,,2387407,0,0,152
36025,5,72,1990,3,141,1221,1247,1275,,2533317,0,0,156
36025,5,72,1990,4,138,1268,1283,1301,,2459220,0,0,147
36027,5,72,1990,1,483,5635,5651,5744,,12988962,0,0,176
36027,5,72,1990,2,480,5937,6158,6272,,14317422,0,0,180
36027,5,72,1990,3,489,6509,6798,6321,,15828741,0,0,186
36027,5,72,1990,4,487,5996,5866,5837,,14729147,0,0,192
36029,5,72,1990,1,2010,30515,31397,31822,,55498652,0,0,137
36029,5,72,1990,2,2022,32335,33893,34465,,60830770,0,0,139
36029,5,72,1990,3,2029,34459,34788,34336,,64438137,0,0,144
36029,5,72,1990,4,2034,33371,33332,33168,,63025372,0,0,146
36031,5,72,1990,1,204,1710,1779,1690,,4799616,0,0,214
36031,5,72,1990,2,209,1440,1785,2174,,4614545,0,0,197
36031,5,72,1990,3,207,2779,2825,2193,,7199206,0,0,213
36031,5,72,1990,4,207,1984,1623,1674,,5315626,0,0,232
36033,5,72,1990,1,117,911,904,900,,1501772,0,0,128
36033,5,72,1990,2,117,916,1000,1089,,1708534,0,0,131
36033,5,72,1990,3,120,1186,1195,1059,,2132669,0,0,143
36033,5,72,1990,4,125,1022,1024,1005,,1775103,0,0,134
36035,5,72,1990,1,104,791,811,858,,1352279,0,0,127
36035,5,72,1990,2,108,854,931,985,,1540941,0,0,128
36035,5,72,1990,3,111,961,978,923,,1649826,0,0,133
36035,5,72,1990,4,112,875,907,881,,1524380,0,0,132
36037,5,72,1990,1,123,1368,1456,1500,,2645949,0,0,141
36037,5,72,1990,2,123,1583,1691,1825,,3026184,0,0,137
36037,5,72,1990,3,123,1763,1806,1680,,3411134,0,0,150
36037,5,72,1990,4,122,1580,1481,1419,,2859400,0,0,147
36039,5,72,1990,1,226,1365,1362,1296,,2709445,0,0,155
36039,5,72,1990,2,232,1212,1491,1776,,3105823,0,0,160
36039,5,72,1990,3,227,2401,2552,1966,,5583373,0,0,186
36039,5,72,1990,4,224,1502,1218,1173,,2988215,0,0,177
36041,5,72,1990,1,68,165,156,139,,283709,0,0,142
36041,5,72,1990,2,66,128,208,311,,398576,0,0,142
36041,5,72,1990,3,68,478,559,307,,1034980,0,0,178
36041,5,72,1990,4,67,240,156,158,,440880,0,0,184
36043,5,72,1990,1,161,1342,1342,1271,,2265782,0,0,132
36043,5,72,1990,2,164,1193,1382,1608,,2384118,0,0,132
36043,5,72,1990,3,162,1741,1774,1573,,3265993,0,0,148
36043,5,72,1990,4,164,1468,1309,1367,,2603462,0,0,145
36045,1,72,1990,1,1,325,303,280,,814050,0,0,207
36045,1,72,1990,2,1,248,235,246,,644609,0,0,204
36045,1,72,1990,3,1,270,277,268,,835513,0,0,237
36045,1,72,1990,4,1,260,256,258,,671328,0,0,200
36045,5,72,1990,1,309,2802,2693,2808,,5020201,0,0,140
36045,5,72,1990,2,316,3172,4072,4658,,7429864,0,0,144
36045,5,72,1990,3,328,4800,4838,4357,,9813084,0,0,162
36045,5,72,1990,4,319,3552,3224,3075,,6462867,0,0,151
36047,1,72,1990,1,1,150,152,148,,393429,0,0,202
36047,1,72,1990,2,1,159,163,166,,519620,0,0,246
36047,1,72,1990,3,1,181,187,179,,360804,0,0,152
36047,1,72,1990,4,1,162,162,176,,585511,0,0,270
36047,5,72,1990,1,2165,14753,15035,15420,,38617541,0,0,197
36047,5,72,1990,2,2200,15326,15893,16094,,42189076,0,0,206
36047,5,72,1990,3,2194,15537,15549,15692,,41885421,0,0,207
36047,5,72,1990,4,2198,15420,15639,15627,,43676754,0,0,216
36049,5,72,1990,1,76,385,388,397,,572920,0,0,113
36049,5,72,1990,2,78,385,410,468,,671728,0,0,123
36049,5,72,1990,3,79,512,552,473,,786991,0,0,118
36049,5,72,1990,4,79,425,414,422,,631298,0,0,116
